listing_id,room_type
204959,private room
205043,private room
205485,entire home/apt
205735,private room
205867,entire home/apt
206071,private room
206772,entire home/apt
208889,entire home/apt
209310,private room
211974,entire home/apt
212109,private room
212178,entire home/apt
213272,private room
215560,private room
215784,entire home/apt
215907,entire home/apt
218358,private room
219066,entire home/apt
219922,private room
220351,private room
220946,entire home/apt
221097,entire home/apt
221618,private room
222304,entire home/apt
223930,entire home/apt
225306,private room
225887,private room
225926,private room
225976,entire home/apt
226021,entire home/apt
227715,entire home/apt
227735,entire home/apt
228317,entire home/apt
228496,entire home/apt
228517,private room
228925,entire home/apt
229367,private room
230321,entire home/apt
230854,private room
230877,entire home/apt
232612,entire home/apt
232618,entire home/apt
233189,entire home/apt
233662,private room
234184,entire home/apt
235552,entire home/apt
235651,private room
235951,entire home/apt
236671,entire home/apt
236788,entire home/apt
237127,entire home/apt
239733,entire home/apt
239883,private room
240800,private room
241140,private room
241159,entire home/apt
241862,entire home/apt
242532,private room
242643,entire home/apt
243708,entire home/apt
245504,private room
245544,private room
245574,entire home/apt
245607,entire home/apt
246916,entire home/apt
246938,entire home/apt
248865,entire home/apt
248871,entire home/apt
250259,entire home/apt
250801,entire home/apt
251262,private room
251277,private room
252076,private room
253466,entire home/apt
253475,entire home/apt
253590,entire home/apt
253800,entire home/apt
253803,entire home/apt
253806,entire home/apt
253811,entire home/apt
253815,entire home/apt
254131,private room
255024,entire home/apt
255476,private room
255601,entire home/apt
255957,entire home/apt
256078,entire home/apt
256328,entire home/apt
256369,private room
257097,entire home/apt
257787,private room
258284,entire home/apt
258397,entire home/apt
258688,entire home/apt
258838,entire home/apt
259946,entire home/apt
260765,entire home/apt
261194,entire home/apt
261344,private room
262343,entire home/apt
262405,entire home/apt
262583,entire home/apt
263005,entire home/apt
263190,private room
263232,entire home/apt
263776,private room
263888,entire home/apt
264323,private room
265036,private room
266146,entire home/apt
266155,entire home/apt
266449,entire home/apt
267376,private room
267435,private room
267535,private room
267652,private room
267708,private room
268392,entire home/apt
268868,entire home/apt
269283,private room
269889,private room
270139,private room
270231,private room
270315,private room
270345,entire home/apt
270680,private room
271083,entire home/apt
271128,private room
271130,private room
271954,entire home/apt
272427,private room
272738,private room
274062,private room
274329,entire home/apt
274376,entire home/apt
275976,entire home/apt
276317,entire home/apt
276482,private room
277207,private room
277370,entire home/apt
278090,private room
279857,entire home/apt
279969,entire home/apt
281756,entire home/apt
281851,private room
282443,entire home/apt
282514,private room
282863,entire home/apt
282977,private room
283550,entire home/apt
284855,entire home/apt
286662,entire home/apt
287397,entire home/apt
287417,entire home/apt
287481,entire home/apt
287839,entire home/apt
287845,entire home/apt
289288,entire home/apt
289995,entire home/apt
290457,entire home/apt
291524,entire home/apt
292047,private room
292266,private room
293837,entire home/apt
294227,entire home/apt
294242,entire home/apt
294250,entire home/apt
294259,entire home/apt
294263,entire home/apt
294280,entire home/apt
294297,entire home/apt
294353,private room
294490,entire home/apt
295379,entire home/apt
295998,entire home/apt
296345,private room
296361,private room
298759,private room
299078,entire home/apt
299531,entire home/apt
301034,private room
302057,private room
303345,entire home/apt
304799,entire home/apt
305211,entire home/apt
306799,private room
310272,private room
310325,private room
310338,private room
310524,private room
310796,entire home/apt
311343,private room
311356,private room
312429,private room
313890,entire home/apt
314982,private room
316238,entire home/apt
317838,entire home/apt
317905,entire home/apt
318021,private room
318187,entire home/apt
319724,private room
319798,private room
319844,private room
320865,entire home/apt
320876,entire home/apt
322037,entire home/apt
322604,private room
322974,private room
324115,private room
325429,entire home/apt
326832,entire home/apt
326956,private room
327778,entire home/apt
328040,entire home/apt
328693,entire home/apt
328744,entire home/apt
329385,private room
333189,private room
333323,private room
334607,entire home/apt
334781,private room
335797,entire home/apt
335819,entire home/apt
335820,entire home/apt
336220,private room
341525,private room
342027,entire home/apt
342995,private room
343276,private room
347865,entire home/apt
351859,entire home/apt
352651,private room
352864,private room
353317,entire home/apt
354095,entire home/apt
355106,private room
357509,entire home/apt
359982,private room
360400,private room
364275,private room
367810,private room
369411,private room
369567,private room
369671,entire home/apt
373618,private room
374548,entire home/apt
375249,private room
378460,entire home/apt
380416,entire home/apt
382524,private room
385190,private room
385824,entire home/apt
386555,private room
386744,private room
387377,entire home/apt
387666,private room
387735,entire home/apt
391955,entire home/apt
392948,private room
393016,private room
393094,entire home/apt
396636,entire home/apt
398283,entire home/apt
399946,private room
401579,entire home/apt
401836,entire home/apt
403056,private room
403264,private room
403668,entire home/apt
404502,private room
404923,entire home/apt
405025,entire home/apt
405408,entire home/apt
406926,entire home/apt
407469,private room
408983,entire home/apt
409262,entire home/apt
409293,private room
411336,entire home/apt
411525,private room
411918,entire home/apt
412061,entire home/apt
413504,private room
413775,entire home/apt
414801,entire home/apt
416557,entire home/apt
417685,entire home/apt
418291,private room
419373,entire home/apt
419792,entire home/apt
424667,private room
424767,entire home/apt
428226,private room
431865,entire home/apt
433218,entire home/apt
433414,entire home/apt
433914,entire home/apt
434792,entire home/apt
435946,entire home/apt
436619,private room
436824,private room
438513,entire home/apt
442636,entire home/apt
443646,entire home/apt
446367,entire home/apt
448048,private room
449034,private room
449130,private room
449660,private room
450009,private room
450577,entire home/apt
450578,private room
452541,entire home/apt
453094,private room
453255,entire home/apt
454929,entire home/apt
455734,entire home/apt
456190,entire home/apt
456526,private room
457829,entire home/apt
458154,private room
458377,entire home/apt
459066,entire home/apt
460036,entire home/apt
460999,entire home/apt
466277,entire home/apt
466457,entire home/apt
467569,entire home/apt
467634,shared room
467866,private room
470090,entire home/apt
470370,private room
471712,private room
471914,private room
472546,entire home/apt
473592,private room
476527,entire home/apt
476570,entire home/apt
476571,entire home/apt
476983,private room
478053,private room
478385,entire home/apt
479002,entire home/apt
479263,entire home/apt
479867,entire home/apt
481022,entire home/apt
482765,private room
483414,private room
483485,entire home/apt
483505,entire home/apt
484312,entire home/apt
488083,entire home/apt
489018,entire home/apt
489365,entire home/apt
489924,private room
489965,private room
491123,private room
491529,entire home/apt
491977,entire home/apt
493177,entire home/apt
493611,entire home/apt
494937,entire home/apt
495249,private room
496166,entire home/apt
498052,private room
498859,entire home/apt
500845,entire home/apt
500886,private room
501082,private room
501098,private room
501693,private room
502309,private room
502429,entire home/apt
503529,entire home/apt
503722,entire home/apt
503790,entire home/apt
504362,entire home/apt
504437,entire home/apt
505315,private room
506121,private room
506527,entire home/apt
506571,entire home/apt
506575,private room
507393,private room
509989,entire home/apt
510218,entire home/apt
512209,entire home/apt
512210,entire home/apt
512775,entire home/apt
513688,entire home/apt
514457,entire home/apt
515392,entire home/apt
516452,entire home/apt
516791,entire home/apt
518566,private room
518576,entire home/apt
518960,entire home/apt
519310,private room
521672,private room
521806,entire home/apt
522081,private room
524111,entire home/apt
525120,entire home/apt
525293,entire home/apt
525388,entire home/apt
526923,entire home/apt
528485,private room
530431,entire home/apt
530576,private room
531091,private room
531455,entire home/apt
532288,private room
532749,entire home/apt
533168,entire home/apt
533506,entire home/apt
533927,entire home/apt
535095,private room
535352,entire home/apt
536578,private room
538344,entire home/apt
538590,entire home/apt
539160,entire home/apt
540057,entire home/apt
540489,private room
541725,entire home/apt
542054,entire home/apt
542203,entire home/apt
543792,entire home/apt
544131,private room
545651,private room
546383,private room
546573,entire home/apt
548133,entire home/apt
550288,entire home/apt
550777,entire home/apt
552141,entire home/apt
552519,entire home/apt
552639,entire home/apt
553565,entire home/apt
554165,entire home/apt
555206,private room
557487,entire home/apt
560078,entire home/apt
564184,private room
564447,entire home/apt
564751,shared room
566712,private room
566911,entire home/apt
568661,entire home/apt
568743,entire home/apt
570218,entire home/apt
570750,entire home/apt
571564,private room
573612,private room
573671,private room
573795,entire home/apt
573870,entire home/apt
575061,private room
577324,entire home/apt
577824,private room
578267,private room
579716,private room
580323,private room
581180,entire home/apt
583337,entire home/apt
584122,private room
585369,entire home/apt
585491,entire home/apt
585937,entire home/apt
587554,entire home/apt
587698,private room
587740,entire home/apt
590903,private room
591135,private room
593292,entire home/apt
593320,private room
594020,private room
594640,entire home/apt
596448,entire home/apt
597544,private room
597624,entire home/apt
598612,entire home/apt
600286,entire home/apt
600775,private room
602070,entire home/apt
606269,entire home/apt
607735,entire home/apt
607781,entire home/apt
609559,entire home/apt
609983,entire home/apt
610596,entire home/apt
611009,entire home/apt
612936,private room
613528,entire home/apt
613818,private room
618916,entire home/apt
619122,private room
624222,entire home/apt
625365,entire home/apt
627432,entire home/apt
628227,entire home/apt
629949,private room
630034,entire home/apt
633276,private room
635114,entire home/apt
635282,entire home/apt
635662,private room
637228,private room
639199,entire home/apt
639781,entire home/apt
640691,private room
640990,private room
642682,entire home/apt
643948,private room
644833,entire home/apt
644869,private room
645075,private room
645693,private room
645942,entire home/apt
646458,private room
647413,entire home/apt
647520,entire home/apt
648047,private room
648246,entire home/apt
651375,entire home/apt
651475,private room
651648,entire home/apt
654005,entire home/apt
654612,entire home/apt
655230,entire home/apt
655783,entire home/apt
656281,private room
657005,entire home/apt
657217,private room
657727,entire home/apt
658008,entire home/apt
658366,entire home/apt
658515,private room
658932,private room
660016,entire home/apt
660036,private room
663608,entire home/apt
666613,entire home/apt
668691,private room
669633,entire home/apt
669831,private room
670767,private room
671633,entire home/apt
673248,entire home/apt
675793,private room
676257,private room
676295,private room
679769,private room
681518,private room
681805,private room
682122,entire home/apt
682155,private room
683681,entire home/apt
683821,private room
684808,entire home/apt
685435,private room
686696,private room
688652,entire home/apt
689329,private room
690349,entire home/apt
690516,entire home/apt
690553,entire home/apt
690603,entire home/apt
690849,entire home/apt
690934,entire home/apt
690960,private room
692137,entire home/apt
692567,private room
693597,entire home/apt
695002,entire home/apt
695465,entire home/apt
697499,entire home/apt
697923,private room
698132,entire home/apt
698162,entire home/apt
698298,private room
699348,private room
699472,entire home/apt
700530,entire home/apt
700916,entire home/apt
702440,entire home/apt
702551,entire home/apt
703971,private room
704838,entire home/apt
705749,private room
707396,entire home/apt
707736,entire home/apt
708374,private room
708637,private room
710243,entire home/apt
710283,entire home/apt
711635,entire home/apt
712260,private room
713538,entire home/apt
713891,private room
714028,entire home/apt
714049,entire home/apt
714939,entire home/apt
715270,private room
718761,private room
719329,entire home/apt
721762,entire home/apt
722464,private room
723560,entire home/apt
723709,private room
725270,entire home/apt
725509,entire home/apt
726422,entire home/apt
726465,private room
727512,entire home/apt
727547,entire home/apt
728493,private room
728498,private room
729306,private room
730480,private room
731293,entire home/apt
731300,private room
732624,private room
732700,entire home/apt
735677,entire home/apt
736187,private room
737075,private room
739815,private room
740823,private room
741154,entire home/apt
742026,entire home/apt
742795,entire home/apt
744078,private room
744220,entire home/apt
745037,entire home/apt
746088,entire home/apt
746996,private room
747029,private room
747159,private room
747344,entire home/apt
747538,private room
747605,entire home/apt
749108,entire home/apt
749455,private room
752366,entire home/apt
752616,entire home/apt
753399,entire home/apt
753622,private room
753687,entire home/apt
753983,private room
753991,entire home/apt
755528,entire home/apt
757187,private room
758782,entire home/apt
760303,entire home/apt
761606,entire home/apt
761835,private room
762015,private room
763527,private room
763809,private room
764753,entire home/apt
765203,shared room
765563,entire home/apt
765569,entire home/apt
767562,private room
767967,entire home/apt
769448,entire home/apt
770893,entire home/apt
772362,entire home/apt
772679,entire home/apt
773041,private room
773993,private room
775238,private room
775280,entire home/apt
775326,private room
776257,entire home/apt
777297,entire home/apt
777327,entire home/apt
778381,private room
779561,entire home/apt
779838,entire home/apt
782554,entire home/apt
783202,entire home/apt
783341,private room
783964,private room
784124,entire home/apt
784169,private room
785508,private room
786053,private room
786685,entire home/apt
786843,entire home/apt
786955,entire home/apt
788005,entire home/apt
790767,entire home/apt
791452,entire home/apt
792835,entire home/apt
794156,entire home/apt
794567,private room
795198,private room
795680,entire home/apt
796523,entire home/apt
797972,entire home/apt
798429,entire home/apt
799319,entire home/apt
799484,entire home/apt
799945,private room
801281,entire home/apt
801626,private room
802498,private room
803237,entire home/apt
803778,entire home/apt
804246,private room
804815,private room
805028,entire home/apt
805218,private room
806038,private room
806040,private room
807535,private room
808618,private room
808774,entire home/apt
808851,private room
812467,private room
812671,entire home/apt
813225,private room
813554,entire home/apt
813793,entire home/apt
814327,private room
814616,entire home/apt
814911,private room
815465,entire home/apt
816637,entire home/apt
817113,private room
818084,entire home/apt
818325,entire home/apt
818337,private room
818481,private room
818518,private room
819206,shared room
819228,private room
819419,entire home/apt
819893,private room
819956,private room
820710,private room
820953,entire home/apt
821135,entire home/apt
822016,private room
823520,private room
823618,private room
823631,private room
823880,private room
825193,entire home/apt
825486,entire home/apt
825545,private room
825550,entire home/apt
826388,private room
826685,private room
826764,private room
827719,private room
828553,entire home/apt
828685,private room
828796,entire home/apt
829935,entire home/apt
830949,private room
832772,entire home/apt
833519,private room
834190,private room
836578,entire home/apt
836720,entire home/apt
837503,entire home/apt
838586,entire home/apt
840731,entire home/apt
840794,entire home/apt
841292,private room
841484,entire home/apt
842167,entire home/apt
843003,entire home/apt
843036,entire home/apt
843491,private room
843524,entire home/apt
844319,entire home/apt
845417,entire home/apt
845517,private room
846190,entire home/apt
846275,entire home/apt
846470,private room
846854,entire home/apt
846871,private room
848087,entire home/apt
848220,entire home/apt
848718,private room
848722,private room
849409,entire home/apt
849603,entire home/apt
850097,entire home/apt
850148,private room
850338,entire home/apt
850517,entire home/apt
850712,entire home/apt
850943,entire home/apt
851784,entire home/apt
852118,entire home/apt
852632,shared room
852949,entire home/apt
854033,private room
854253,entire home/apt
854521,private room
855549,private room
855919,entire home/apt
856440,entire home/apt
857696,private room
858223,entire home/apt
858695,private room
859596,private room
860163,entire home/apt
860827,entire home/apt
862890,private room
864790,private room
864981,private room
865355,private room
866890,private room
867721,private room
867769,private room
873465,entire home/apt
873701,entire home/apt
874683,private room
874706,entire home/apt
875111,entire home/apt
875567,entire home/apt
876355,entire home/apt
876565,private room
877135,entire home/apt
880256,entire home/apt
880424,private room
882209,private room
882559,private room
883306,private room
883423,entire home/apt
883517,entire home/apt
886808,private room
886833,entire home/apt
887129,entire home/apt
887292,entire home/apt
888583,entire home/apt
888905,private room
890839,entire home/apt
891117,private room
892704,entire home/apt
893413,entire home/apt
894015,entire home/apt
894063,private room
895386,entire home/apt
898669,entire home/apt
898861,entire home/apt
900383,shared room
903947,private room
903972,private room
905425,entire home/apt
905947,private room
906038,entire home/apt
906058,private room
907966,private room
911092,entire home/apt
912376,private room
915020,entire home/apt
917058,entire home/apt
918049,entire home/apt
918239,private room
918426,private room
919491,private room
919830,private room
919978,entire home/apt
921441,private room
921585,entire home/apt
